Primary_Row,Lat,Lng,North_Bound,South_Bound,East_Bound,West_Bound,y,x,Coord,Center_Pop
YES,45.30323292210124,-122.53756502488142,45.448037381955544,45.15842477501709,-122.33237009031463,-122.74275995944821,11830,0,"(45.30323292210124, -122.53756502488142)",233832.0
YES,45.303970216857046,-122.94795755373381,45.448774657938344,45.159162088547546,-122.74275995941404,-123.15315514805359,11831,0,"(45.303970216857046, -122.94795755373381)",147259.0
YES,45.3047075304623,-123.35835540226333,45.44951195277011,45.15989942092792,-123.15315514801941,-123.56355565650725,11832,0,"(45.3047075304623, -123.35835540226333)",45240.0
YES,45.305444862917966,-123.76875857081231,45.45024926645183,45.160636772159194,-123.56355565647307,-123.97396148515155,11833,0,"(45.305444862917966, -123.76875857081231)",2732.0
YES,45.49391448789181,-67.71121190180723,45.638714092883426,45.34911119617663,-67.50532564245978,-67.91709816115468,11841,0,"(45.49391448789181, -67.71121190180723)",394.0
YES,45.494656673851665,-68.12298712488844,45.63945625994801,45.34985340103404,-67.91709816111971,-68.32887608865717,11842,0,"(45.494656673851665, -68.12298712488844)",1096.0
YES,45.4953988789137,-68.53476775698766,45.640198446114304,45.35059562499411,-68.3288760886222,-68.74065942535313,11843,0,"(45.4953988789137, -68.53476775698766)",5755.0
YES,45.49614110307888,-68.94655379845582,45.64094065138326,45.3513378680578,-68.74065942531816,-69.15244817159349,11844,0,"(45.49614110307888, -68.94655379845582)",1270.0
YES,45.49762560872265,-69.77014211090273,45.64242511923317,45.35282241150004,-69.5642423276942,-69.97604189411125,11846,0,"(45.49762560872265, -69.77014211090273)",184.0
YES,45.49836789020324,-70.18194438258345,45.64316738181611,45.35356471188058,-69.97604189407625,-70.38784687109066,11847,0,"(45.49836789020324, -70.18194438258345)",1117.0
YES,45.52287390410099,-83.7744568940474,45.66767277182447,45.37807134974513,-83.5684650321104,-83.98044875598441,11880,0,"(45.52287390410099, -83.7744568940474)",4379.0
YES,45.52361683578103,-84.18644332916249,45.66841568459067,45.37881430034139,-83.98044875594931,-84.39243790237566,11881,0,"(45.52361683578103, -84.18644332916249)",1398.0
YES,45.52435978660198,-84.59843518700602,45.669158616497306,45.379557270079026,-84.39243790234056,-84.80443247167148,11882,0,"(45.52435978660198, -84.59843518700602)",19554.0
