Primary_Row,Lat,Lng,North_Bound,South_Bound,East_Bound,West_Bound,y,x,Coord,Center_Pop,market_id,Market_Dealers_Total,Market_Units_Total,Dealers_to_CenterPop_Ratio,Units_to_CenterPop_Ratio,Units_per_Dealer_Avg
NO,43.29787983091691,-74.53054138427197,45.4703253731696,41.12460608617256,-71.5568913980722,-77.50419137047174,47,0,"(43.29787983091691, -74.53054138427197)",9030017.0,47_0_no,714,714.0,7.906961858432825e-05,7.906961858432825e-05,1.0
NO,43.453186651630354,-80.48540563212086,45.625572904484144,41.27997197141176,-77.5041708385101,-83.46664042573161,48,0,"(43.453186651630354, -80.48540563212086)",5428926.0,48_0_no,371,371.0,6.833764173613712e-05,6.833764173613712e-05,1.0
NO,43.60933554874645,-86.45554159736726,45.781662186070974,41.43618028253642,-83.46661950996945,-89.44446368476507,49,0,"(43.609335548746444, -86.45554159736726)",15840738.0,49_0_no,766,766.0,4.835633289307607e-05,4.835633289307607e-05,1.0
NO,43.76633546093735,-92.4411562812158,45.93860215489832,41.59323996031513,-89.44444237504688,-95.43787018738472,50,0,"(43.76633546093735, -92.4411562812158)",6866696.0,50_0_no,489,489.0,7.121328802090554e-05,7.121328802090554e-05,1.0
NO,43.92419549490541,-98.44246081787496,46.096401915957735,41.75116011356054,-95.43784847320312,-101.4470731625468,51,0,"(43.92419549490541, -98.44246081787496)",1046480.0,51_0_no,120,120.0,0.00011467013225288586,0.00011467013225288586,1.0
NO,44.08292492994647,-104.4596705888174,46.25507074682751,41.90995002369287,-101.44705103302746,-107.47229014460731,52,0,"(44.082924929946465, -104.45967058881739)",474509.0,52_0_no,32,32.0,6.743813078361e-05,6.743813078361e-05,1.0
NO,44.24253322267446,-110.49300534111822,46.41461810239728,42.06961914946459,-107.47226758849308,-113.51374309374336,53,0,"(44.24253322267446, -110.49300534111822)",823678.0,53_0_no,41,41.0,4.97767331408633e-05,4.97767331408633e-05,1.0
NO,44.40303001191452,-116.5426893100504,46.57505361976107,42.230177131853694,-113.51372009937754,-119.57165852072328,54,0,"(44.40303001191452, -116.5426893100504)",1160495.0,54_0_no,49,49.0,4.222336158277287e-05,4.222336158277287e-05,1.0
NO,44.56442512377164,-122.60895134612532,46.73638712328616,42.39163379913249,-119.57163507603204,-125.64626761621858,55,0,"(44.564425123771635, -122.60895134612531)",4425631.0,55_0_no,131,131.0,2.9600298804848392e-05,2.9600298804848392e-05,1.0
NO,47.43994096757165,-70.7090243155225,49.610808566447,45.26824750924116,-67.51046498669604,-73.90758364434896,56,0,"(47.43994096757165, -70.7090243155225)",60946.0,56_0_no,7,7.0,0.00011485577396383684,0.00011485577396383684,1.0
